Year,Jurisdiction,Average,test
2015,International Average (OECD Countries),490.203899758467,Math
2015,Average of the Selected Jurisdictions,461.616930168373,Math
2015,Australia,493.896231275835,Math
2015,Austria,496.742273947571,Math
2015,Belgium,506.984362377966,Math
2015,Canada,515.647427968622,Math
2015,Chile,422.671357892647,Math
2015,Czech Republic,492.325438023637,Math
2015,Denmark,511.087631834791,Math
2015,Estonia,519.52913230814,Math
2015,Finland,511.076852960152,Math
2015,France,492.92040179419,Math
2015,Germany,505.971282413447,Math
2015,Greece,453.629850695741,Math
2015,Hungary,476.830880844202,Math
2015,Iceland,488.033184375679,Math
2015,Ireland,503.721997416289,Math
2015,Israel,469.66945406512,Math
2015,Italy,489.728730841121,Math
2015,Japan,532.439872216395,Math
2015,"Korea, Republic of",524.106216349152,Math
2015,Latvia,482.305071700274,Math
2015,Luxembourg,485.770628161505,Math
2015,Mexico,408.023477641997,Math
2015,Netherlands,512.252789849464,Math
2015,New Zealand,495.22325640525,Math
2015,Norway,501.729814944197,Math
2015,Poland,504.469251373938,Math
2015,Portugal,491.626967860438,Math
2015,Slovak Republic,475.230105289991,Math
2015,Slovenia,509.919632114553,Math
2015,Spain,485.843217330057,Math
2015,Sweden,493.91812212913,Math
2015,Switzerland,521.2505751832,Math
2015,Turkey,420.453979471543,Math
2015,United Kingdom,492.478530672512,Math
2015,United States,469.628491817614,Math
2015,Albania,413.157021070361,Math
2015,Algeria,359.606217049405,Math
2015,Argentina,NA,Math
2015,Azerbaijan,NA,Math
2015,Brazil,377.069523421222,Math
2015,B-S-J-G (China),531.296133018898,Math
2015,Buenos Aires - Argentina,456.295589371338,Math
2015,Bulgaria,441.189919352615,Math
2015,Chinese Taipei,542.321466737274,Math
2015,Colombia,389.643827849568,Math
2015,Costa Rica,400.25337289934,Math
2015,Croatia,464.040099247348,Math
2015,Cyprus,437.128523551686,Math
2015,Dominican Republic,327.702025194469,Math
2015,Dubai-United Arab Emirates,NA,Math
2015,Georgia,403.833229454303,Math
2015,Hong Kong - China,547.931049423792,Math
2015,Indonesia,386.10959153229,Math
2015,Jordan,380.259010417183,Math
2015,Kazakhstan,NA,Math
2015,Kosovo,361.53398062755,Math
2015,Kyrgyz Republic,NA,Math
2015,Lebanon,396.249652539543,Math
2015,Liechtenstein,NA,Math
2015,Lithuania,478.383381816247,Math
2015,Macao - China,543.807775689021,Math
2015,"Macedonia, Republic of",371.311428690251,Math
2015,Malaysia,NA,Math
2015,Malta,478.644793714906,Math
2015,"Moldova, Republic of",419.663521460392,Math
2015,"Montenegro, Republic of",417.934124683488,Math
2015,Panama,NA,Math
2015,Peru,386.560588036269,Math
2015,Qatar,402.400635014115,Math
2015,Romania,443.954315286879,Math
2015,Russian Federation,494.060030279362,Math
2015,Serbia and Montenegro,NA,Math
2015,"Serbia, Republic of",NA,Math
2015,Shanghai - China,NA,Math
2015,Singapore,564.189678152976,Math
2015,Thailand,415.463799897801,Math
2015,Trinidad and Tobago,417.243395883193,Math
2015,Tunisia,366.817985469443,Math
2015,United Arab Emirates,427.482739051995,Math
2015,Uruguay,417.99188294929,Math
2015,Vietnam,494.518311405921,Math
2012,International Average (OECD Countries),493.940745586948,Math
2012,Average of the Selected Jurisdictions,473.282524043717,Math
2012,Australia,504.150766269474,Math
2012,Austria,505.540743040188,Math
2012,Belgium,514.52924489034,Math
2012,Canada,518.070399654099,Math
2012,Chile,422.632355512398,Math
2012,Czech Republic,498.957882463199,Math
2012,Denmark,500.026756674282,Math
2012,Estonia,520.545521584124,Math
2012,Finland,518.750335277442,Math
2012,France,494.984674325778,Math
2012,Germany,513.52505569194,Math
2012,Greece,452.973426995912,Math
2012,Hungary,477.044454869619,Math
2012,Iceland,492.795697508307,Math
2012,Ireland,501.497460190702,Math
2012,Israel,466.48143036732,Math
2012,Italy,485.321181214056,Math
2012,Japan,536.406918585376,Math
2012,"Korea, Republic of",553.766658749828,Math
2012,Latvia,490.571021834409,Math
2012,Luxembourg,489.845097687263,Math
2012,Mexico,413.281466598847,Math
2012,Netherlands,522.971758176618,Math
2012,New Zealand,499.749902881932,Math
2012,Norway,489.373070368064,Math
2012,Poland,517.501096738681,Math
2012,Portugal,487.063181119208,Math
2012,Slovak Republic,481.644743898642,Math
2012,Slovenia,501.127422505933,Math
2012,Spain,484.319297830375,Math
2012,Sweden,478.260635852324,Math
2012,Switzerland,530.931003856151,Math
2012,Turkey,447.984415052099,Math
2012,United Kingdom,493.934230967956,Math
2012,United States,481.366786310301,Math
2012,Albania,394.329333184424,Math
2012,Algeria,NA,Math
2012,Argentina,388.431709736779,Math
2012,Azerbaijan,NA,Math
2012,Brazil,388.508963269403,Math
2012,B-S-J-G (China),NA,Math
2012,Buenos Aires - Argentina,NA,Math
2012,Bulgaria,438.738259668812,Math
2012,Chinese Taipei,559.824796020719,Math
2012,Colombia,376.48860104617,Math
2012,Costa Rica,406.99986717469,Math
2012,Croatia,471.131460624613,Math
2012,Cyprus,439.696382648104,Math
2012,Dominican Republic,NA,Math
2012,Dubai-United Arab Emirates,NA,Math
2012,Georgia,NA,Math
2012,Hong Kong  China,561.241096347419,Math
2012,Indonesia,375.114451524122,Math
2012,Jordan,385.595556370133,Math
2012,Kazakhstan,431.798408525889,Math
2012,Kosovo,NA,Math
2012,Kyrgyz Republic,NA,Math
2012,Lebanon,NA,Math
2012,Liechtenstein,534.965082938305,Math
2012,Lithuania,478.823277473646,Math
2012,Macao - China,538.13449475617,Math
2012,"Macedonia, Republic of",NA,Math
2012,Malaysia,420.512967518403,Math
2012,Malta,NA,Math
2012,"Moldova, Republic of",NA,Math
2012,"Montenegro, Republic of",409.626613200096,Math
2012,Panama,NA,Math
2012,Peru,368.102546897398,Math
2012,Qatar,376.448397830979,Math
2012,Romania,444.554242644569,Math
2012,Russian Federation,482.169415849644,Math
2012,Serbia and Montenegro,NA,Math
2012,"Serbia, Republic of",448.859130364827,Math
2012,Shanghai - China,612.675536477381,Math
2012,Singapore,573.468314561447,Math
2012,Thailand,426.737491174573,Math
2012,Trinidad and Tobago,NA,Math
2012,Tunisia,387.824629540816,Math
2012,United Arab Emirates,434.007164664006,Math
2012,Uruguay,409.291567890237,Math
2012,Vietnam,511.338207374629,Math
2009,International Average (OECD Countries),495.318198199802,Math
2009,Average of the Selected Jurisdictions,467.618121621989,Math
2009,Australia,514.340462493315,Math
2009,Austria,495.908655251925,Math
2009,Belgium,515.272276921134,Math
2009,Canada,526.80515277157,Math
2009,Chile,421.060473175213,Math
2009,Czech Republic,492.814094080371,Math
2009,Denmark,503.278147362278,Math
2009,Estonia,512.104197393106,Math
2009,Finland,540.504348172301,Math
2009,France,496.782310316207,Math
2009,Germany,512.777642537515,Math
2009,Greece,466.096372661163,Math
2009,Hungary,490.170027503728,Math
2009,Iceland,506.669163687622,Math
2009,Ireland,487.136375135939,Math
2009,Israel,446.863763939656,Math
2009,Italy,482.908480395348,Math
2009,Japan,528.993092875153,Math
2009,"Korea, Republic of",546.228534209753,Math
2009,Latvia,481.953822121265,Math
2009,Luxembourg,489.067263289906,Math
2009,Mexico,418.509094568344,Math
2009,Netherlands,525.83568837596,Math
2009,New Zealand,519.300872255267,Math
2009,Norway,497.955692982933,Math
2009,Poland,494.802918331843,Math
2009,Portugal,486.888305911757,Math
2009,Slovak Republic,496.683420001406,Math
2009,Slovenia,501.472389333819,Math
2009,Spain,483.493140177442,Math
2009,Sweden,494.238175178004,Math
2009,Switzerland,533.960644751785,Math
2009,Turkey,445.451340058823,Math
2009,United Kingdom,492.414078264908,Math
2009,United States,487.396520506318,Math
2009,Albania,377.461056419574,Math
2009,Algeria,NA,Math
2009,Argentina,388.068128331989,Math
2009,Azerbaijan,430.975299845017,Math
2009,Brazil,385.814111796073,Math
2009,B-S-J-G (China),NA,Math
2009,Buenos Aires - Argentina,NA,Math
2009,Bulgaria,428.06614290384,Math
2009,Chinese Taipei,543.182422746028,Math
2009,Colombia,380.848214879185,Math
2009,Costa Rica,NA,Math
2009,Croatia,459.93891768794,Math
2009,Cyprus,NA,Math
2009,Dominican Republic,NA,Math
2009,Dubai-United Arab Emirates,452.532685336558,Math
2009,Georgia,NA,Math
2009,Hong Kong - China,554.527506247141,Math
2009,Indonesia,371.300931004917,Math
2009,Jordan,386.663813753871,Math
2009,Kazakhstan,404.884691917085,Math
2009,Kosovo,NA,Math
2009,Kyrgyz Republic,331.15550913590903,Math
2009,Lebanon,NA,Math
2009,Liechtenstein,536.048468696232,Math
2009,Lithuania,476.602303064381,Math
2009,Macao - China,525.283022896302,Math
2009,"Macedonia, Republic of",NA,Math
2009,Malaysia,NA,Math
2009,Malta,NA,Math
2009,"Moldova, Republic of",NA,Math
2009,"Montenegro, Republic of",402.515364134253,Math
2009,Panama,359.74815917555,Math
2009,Peru,365.107272348555,Math
2009,Qatar,368.112487761863,Math
2009,Romania,427.07917579221,Math
2009,Russian Federation,467.812209268743,Math
2009,Serbia and Montenegro,NA,Math
2009,"Serbia, Republic of",442.38188879746,Math
2009,Shanghai - China,600.076266497801,Math
2009,Singapore,562.018741039035,Math
2009,Thailand,418.583935015112,Math
2009,Trinidad and Tobago,414.044966353499,Math
2009,Tunisia,371.483502869281,Math
2009,United Arab Emirates,NA,Math
2009,Uruguay,426.723772720805,Math
2009,Vietnam,NA,Math
2006,International Average (OECD Countries),493.962333172036,Math
2006,Average of the Selected Jurisdictions,469.077559176409,Math
2006,Australia,519.907748551867,Math
2006,Austria,505.483598477487,Math
2006,Belgium,520.348972896002,Math
2006,Canada,527.00717882472,Math
2006,Chile,411.350338565367,Math
2006,Czech Republic,509.859358944553,Math
2006,Denmark,513.025950193346,Math
2006,Estonia,514.575461702332,Math
2006,Finland,548.358395122749,Math
2006,France,495.538332864436,Math
2006,Germany,503.790858306251,Math
2006,Greece,459.201986715969,Math
2006,Hungary,490.937383003134,Math
2006,Iceland,505.544828285265,Math
2006,Ireland,501.471771117311,Math
2006,Israel,441.858727752461,Math
2006,Italy,461.688720801908,Math
2006,Japan,523.10251518708,Math
2006,"Korea, Republic of",547.458478815152,Math
2006,Latvia,486.166083464506,Math
2006,Luxembourg,490.001840360493,Math
2006,Mexico,405.654639766968,Math
2006,Netherlands,530.654046403508,Math
2006,New Zealand,521.988848532371,Math
2006,Norway,489.846353153488,Math
2006,Poland,495.428496857271,Math
2006,Portugal,466.160985698929,Math
2006,Slovak Republic,492.106237906583,Math
2006,Slovenia,504.455963817407,Math
2006,Spain,479.957506997495,Math
2006,Sweden,502.356398206747,Math
2006,Switzerland,529.656147274817,Math
2006,Turkey,423.941190323101,Math
2006,United Kingdom,495.444158476338,Math
2006,United States,474.35215765384,Math
2006,Albania,NA,Math
2006,Algeria,NA,Math
2006,Argentina,381.253911148702,Math
2006,Azerbaijan,475.995219850919,Math
2006,Brazil,369.515046477085,Math
2006,B-S-J-G (China),NA,Math
2006,Buenos Aires - Argentina,NA,Math
2006,Bulgaria,413.449171394559,Math
2006,Chinese Taipei,549.357265489055,Math
2006,Colombia,369.978513519926,Math
2006,Costa Rica,NA,Math
2006,Croatia,467.24671401615,Math
2006,Cyprus,NA,Math
2006,Dominican Republic,NA,Math
2006,Dubai-United Arab Emirates,NA,Math
2006,Georgia,NA,Math
2006,Hong Kong - China,547.460679574837,Math
2006,Indonesia,391.006808080867,Math
2006,Jordan,384.036052036306,Math
2006,Kazakhstan,NA,Math
2006,Kosovo,NA,Math
2006,Kyrgyz Republic,310.583831838199,Math
2006,Lebanon,NA,Math
2006,Liechtenstein,524.967426224896,Math
2006,Lithuania,486.421334787376,Math
2006,Macao - China,525.002509286714,Math
2006,"Macedonia, Republic of",NA,Math
2006,Malaysia,NA,Math
2006,Malta,NA,Math
2006,"Moldova, Republic of",NA,Math
2006,"Montenegro, Republic of",399.307688537886,Math
2006,Panama,NA,Math
2006,Peru,NA,Math
2006,Qatar,317.955652286622,Math
2006,Romania,414.7959504538,Math
2006,Russian Federation,475.679075148295,Math
2006,Serbia and Montenegro,NA,Math
2006,"Serbia, Republic of",435.375332255252,Math
2006,Shanghai - China,NA,Math
2006,Singapore,NA,Math
2006,Thailand,417.072614011731,Math
2006,Trinidad and Tobago,NA,Math
2006,Tunisia,365.479374822148,Math
2006,United Arab Emirates,NA,Math
2006,Uruguay,426.799040792705,Math
2006,Vietnam,NA,Math
2003,International Average (OECD Countries),499.170373010546,Math
2003,Average of the Selected Jurisdictions,485.198093928753,Math
2003,Australia,524.266004324964,Math
2003,Austria,505.610983619778,Math
2003,Belgium,529.286414629863,Math
2003,Canada,532.486736197024,Math
2003,Chile,NA,Math
2003,Czech Republic,516.455000745028,Math
2003,Denmark,514.287675108569,Math
2003,Estonia,NA,Math
2003,Finland,544.289187006198,Math
2003,France,510.799473485927,Math
2003,Germany,502.985532699418,Math
2003,Greece,444.911862704937,Math
2003,Hungary,490.012392234689,Math
2003,Iceland,515.108650286554,Math
2003,Ireland,502.837319707831,Math
2003,Israel,NA,Math
2003,Italy,465.66421007198,Math
2003,Japan,534.136501636472,Math
2003,"Korea, Republic of",542.227369643416,Math
2003,Latvia,483.374948830849,Math
2003,Luxembourg,493.208556588694,Math
2003,Mexico,385.218339344223,Math
2003,Netherlands,537.82327629883,Math
2003,New Zealand,523.486584874737,Math
2003,Norway,495.185390278491,Math
2003,Poland,490.238776169126,Math
2003,Portugal,466.016694548823,Math
2003,Slovak Republic,498.183456013749,Math
2003,Slovenia,NA,Math
2003,Spain,485.108056486922,Math
2003,Sweden,509.046449064095,Math
2003,Switzerland,526.55314814434,Math
2003,Turkey,423.41941009499,Math
2003,United Kingdom,NA,Math
2003,United States,482.882789475851,Math
2003,Albania,NA,Math
2003,Algeria,NA,Math
2003,Argentina,NA,Math
2003,Azerbaijan,NA,Math
2003,Brazil,356.015791087644,Math
2003,B-S-J-G (China),NA,Math
2003,Buenos Aires - Argentina,NA,Math
2003,Bulgaria,NA,Math
2003,Chinese Taipei,NA,Math
2003,Colombia,NA,Math
2003,Costa Rica,NA,Math
2003,Croatia,NA,Math
2003,Cyprus,NA,Math
2003,Dominican Republic,NA,Math
2003,Dubai-United Arab Emirates,NA,Math
2003,Georgia,NA,Math
2003,Hong Kong - China,550.383240588331,Math
2003,Indonesia,360.158832165328,Math
2003,Jordan,NA,Math
2003,Kazakhstan,NA,Math
2003,Kosovo,NA,Math
2003,Kyrgyz Republic,NA,Math
2003,Lebanon,NA,Math
2003,Liechtenstein,535.795421903707,Math
2003,Lithuania,NA,Math
2003,Macao - China,527.270281499519,Math
2003,"Macedonia, Republic of",NA,Math
2003,Malaysia,NA,Math
2003,Malta,NA,Math
2003,"Moldova, Republic of",NA,Math
2003,"Montenegro, Republic of",NA,Math
2003,Panama,NA,Math
2003,Peru,NA,Math
2003,Qatar,NA,Math
2003,Romania,NA,Math
2003,Russian Federation,468.406654023418,Math
2003,Serbia and Montenegro,436.871283394169,Math
2003,"Serbia, Republic of",NA,Math
2003,Shanghai - China,NA,Math
2003,Singapore,NA,Math
2003,Thailand,416.977960429349,Math
2003,Trinidad and Tobago,NA,Math
2003,Tunisia,358.73322220757,Math
2003,United Arab Emirates,NA,Math
2003,Uruguay,422.199879534705,Math
2003,Vietnam,NA,Math
2000,International Average (OECD Countries),NA,Math
2000,Average of the Selected Jurisdictions,NA,Math
2000,Australia,NA,Math
2000,Austria,NA,Math
2000,Belgium,NA,Math
2000,Canada,NA,Math
2000,Chile,NA,Math
2000,Czech Republic,NA,Math
2000,Denmark,NA,Math
2000,Estonia,NA,Math
2000,Finland,NA,Math
2000,France,NA,Math
2000,Germany,NA,Math
2000,Greece,NA,Math
2000,Hungary,NA,Math
2000,Iceland,NA,Math
2000,Ireland,NA,Math
2000,Israel,NA,Math
2000,Italy,NA,Math
2000,Japan,NA,Math
2000,"Korea, Republic of",NA,Math
2000,Latvia,NA,Math
2000,Luxembourg,NA,Math
2000,Mexico,NA,Math
2000,Netherlands,NA,Math
2000,New Zealand,NA,Math
2000,Norway,NA,Math
2000,Poland,NA,Math
2000,Portugal,NA,Math
2000,Slovak Republic,NA,Math
2000,Slovenia,NA,Math
2000,Spain,NA,Math
2000,Sweden,NA,Math
2000,Switzerland,NA,Math
2000,Turkey,NA,Math
2000,United Kingdom,NA,Math
2000,United States,NA,Math
2000,Albania,NA,Math
2000,Algeria,NA,Math
2000,Argentina,NA,Math
2000,Azerbaijan,NA,Math
2000,Brazil,NA,Math
2000,B-S-J-G (China),NA,Math
2000,Buenos Aires - Argentina,NA,Math
2000,Bulgaria,NA,Math
2000,Chinese Taipei,NA,Math
2000,Colombia,NA,Math
2000,Costa Rica,NA,Math
2000,Croatia,NA,Math
2000,Cyprus,NA,Math
2000,Dominican Republic,NA,Math
2000,Dubai-United Arab Emirates,NA,Math
2000,Georgia,NA,Math
2000,Hong Kong - China,NA,Math
2000,Indonesia,NA,Math
2000,Jordan,NA,Math
2000,Kazakhstan,NA,Math
2000,Kosovo,NA,Math
2000,Kyrgyz Republic,NA,Math
2000,Lebanon,NA,Math
2000,Liechtenstein,NA,Math
2000,Lithuania,NA,Math
2000,Macao - China,NA,Math
2000,"Macedonia, Republic of",NA,Math
2000,Malaysia,NA,Math
2000,Malta,NA,Math
2000,"Moldova, Republic of",NA,Math
2000,"Montenegro, Republic of",NA,Math
2000,Panama,NA,Math
2000,Peru,NA,Math
2000,Qatar,NA,Math
2000,Romania,NA,Math
2000,Russian Federation,NA,Math
2000,Serbia and Montenegro,NA,Math
2000,"Serbia, Republic of",NA,Math
2000,Shanghai - China,NA,Math
2000,Singapore,NA,Math
2000,Thailand,NA,Math
2000,Trinidad and Tobago,NA,Math
2000,Tunisia,NA,Math
2000,United Arab Emirates,NA,Math
2000,Uruguay,NA,Math
2000,Vietnam,NA,Math
2015,International Average (OECD Countries),493.201712887358,Science
2015,Average of the Selected Jurisdictions,466.214798084653,Science
